copy pasted from supplementary .doc document,,,,,,,,,,
"Hypothyris lycaste dionaea (Hewitson, 1854)",0,2,high altitude,,,,,,,
"Ithomia leila    Hewitson, 1852",36,30,high altitude,,,,,,,
"Marpesia corita corita (Westwood, 1850)",13,89,high altitude,,,,,,,
"Marpesia zerynthia dentigera (Fruhstorfer, 1907)",0,1,high altitude,,,,,,,
"Memphis proserpina proserpina  (Salvin, 1869)",11,2,high altitude,,,,,,,
"Morpho polyphemus luna     Butler, 1869",1,48,high altitude,,,,,,,
"Morpho theseus oaxacensis Le Moult & Réal, 1962",5,0,high altitude,,,,,,,
"Myscelia cyaniris cyaniris    Doubleday, [1848]",0,1,high altitude,,,,,,,
"Nymphalis antiopa antiopa  (Linnaeus, 1758)",8,10,high altitude,,,,,,,
"Oleria victorine paula (Weymer, 1883)",0,9,high altitude,,,,,,,
"Oleria zea zea  (Hewitson, [1855])",1,3,high altitude,,,,,,,
"Oxeoschistus tauropolis tauropolis (Westwood, [1850])",104,99,high altitude,,,,,,,
"Paramacera chinanteca    L.D. Miller, 1972",12,2,high altitude,,,,,,,
"Paramacera xicaque xicaque (Reakirt, [1867])",64,0,high altitude,,,,,,,
"Pedaliodes circumducta    Thieme, 1905",122,121,high altitude,,,,,,,
"Phyciodes graphica vesta (W.H. Edwards, 1869)",0,16,high altitude,,,,,,,
"Polygonia g-argenteum (Doubleday, 1848)",0,7,high altitude,,,,,,,
"Pteronymia simplex fenochioi    Lamas, 1978",0,1,high altitude,,,,,,,
"Satyrotaygetis satyrina  (H. Bates, 1865)",6,0,high altitude,,,,,,,
"Siderone syntyche syntyche    Hewitson, [1854]",2,0,high altitude,,,,,,,
"Smyrna blomfildia datis    Fruhstorfer, 1908",74,70,high altitude,,,,,,,
"Taygetis virgilia (Cramer, 1776)",0,4,high altitude,,,,,,,
"Vanessa atalanta rubria (Fruhstorfer, 1909)",1,0,high altitude,,,,,,,
"Vanessa cardui (Linnaeus, 1758)",0,4,high altitude,,,,,,,
"Vanessa virginiensis   (Drury, 1773)",1,66,high altitude,,,,,,,
"Zaretis callidryas (R. Felder, 1869)",1,0,high altitude,,,,,,,
